,target_wind_speed,pred_svr
118026,21.0,25.083173091510595
118027,28.0,20.955385907457863
118028,17.0,24.00910840679522
118029,22.0,17.400070403364836
118030,24.0,19.225143879076136
118031,28.0,22.127676472685444
118032,28.0,25.102819976714443
118033,37.0,25.09747210279693
118034,39.0,31.8832016437855
118035,39.0,32.68017497342063
118036,34.0,33.674111869810346
118037,37.0,32.9186705576741
118038,39.0,33.59880940908419
118039,43.0,35.37914358153691
118040,34.0,38.181777942481624
118041,32.0,34.582087491790034
118042,35.0,31.2377986938247
118043,21.0,33.0093617533679
118044,21.0,22.56438397268913
118045,22.0,21.972932049002736
118046,13.0,22.915849627805212
118047,21.0,14.089012935669144
118048,15.0,21.464865927577115
118049,11.0,15.689807979018273
118050,11.0,10.709064990971438
118051,4.0,10.395363954651934
118052,11.0,7.732891959694218
118053,8.0,10.927042037313704
118054,4.0,9.623445861709374
118055,8.0,6.629974705836069
118056,15.0,8.482365579776491
118057,22.0,13.644380738139837
118058,26.0,22.15114891356724
118059,28.0,25.218536524110583
118060,30.0,27.468412423902755
118061,30.0,28.796878698674835
118062,41.0,26.73348303612233
118063,54.0,35.81720340919427
118064,54.0,46.85530215844892
118065,28.0,51.70506355440689
118066,22.0,36.78608758259032
118067,17.0,26.75227416254777
118068,22.0,21.70674410729409
118069,17.0,23.78816812284102
118070,17.0,23.489903354890256
118071,15.0,18.657061349498093
118072,24.0,16.501621671322617
118073,28.0,19.184628105309777
118074,34.0,25.44050362028856
118075,26.0,32.41884688155874
118076,32.0,26.05698622883196
118077,37.0,29.510511567807786
118078,37.0,32.41716773347046
118079,43.0,33.502376617768476
118080,39.0,38.796090355466724
118081,35.0,37.184934333105545
118082,34.0,34.992330157519945
118083,48.0,32.25440521067944
118084,41.0,41.34774171280108
118085,45.0,39.5791828600977
118086,54.0,41.873702139933876
118087,39.0,48.967611132355955
118088,30.0,43.055409039310405
118089,30.0,32.02268357567542
118090,24.0,30.066407864546782
118091,24.0,28.427142285902356
118092,35.0,27.84563058313458
118093,37.0,32.13994011091015
118094,35.0,33.97132216501042
118095,35.0,33.99329230364058
118096,32.0,33.89027914994024
118097,28.0,31.395363723245254
118098,26.0,29.407973627341352
118099,17.0,27.671096020410566
118100,30.0,20.564299195707925
118101,26.0,28.1433306654972
118102,18.0,25.405020822975157
118103,13.0,20.919033410907943
118104,15.0,15.96132144142692
118105,5.0,16.76948624911513
118106,5.0,9.826542484601799
118107,9.0,8.056817122062458
118108,13.0,9.807024222309582
118109,18.0,11.688561141592437
118110,13.0,18.314475781817627
118111,15.0,16.107720254231257
118112,11.0,15.89843454453179
118113,9.0,11.256835993481673
118114,8.0,9.208496904687202
