datetime,temp,pressure,humidity,wind_direction,wind_speed,u,v,pressure_24h
2024-01-10 06:00:00,22.300001,1022.3,27.0,99.0,1.0,-0.9876883405951377,0.15643446504023098,1020.2624999999999
2024-01-10 09:00:00,24.800001,1019.7,36.0,260.0,4.0,3.939231012048832,0.6945927106677213,1020.3375000000001
2024-01-10 12:00:00,24.5,1018.0,46.0,210.0,4.0,2.0000000000000004,3.4641016151377544,1020.3916666666668
2024-01-10 15:00:00,21.300001,1018.5,65.0,250.0,2.0,1.8793852415718169,0.6840402866513374,1020.4083333333334
2024-01-10 18:00:00,17.800001,1018.6,68.0,260.0,2.0,1.969615506024416,0.34729635533386066,1020.3833333333333
2024-01-10 21:00:00,14.400001,1018.6,76.0,20.0,2.0,-0.6840402866513371,-1.8793852415718169,1020.3291666666665
2024-01-11 00:00:00,12.400001,1017.6,78.0,99.0,1.0,-0.9876883405951377,0.15643446504023098,1020.2291666666666
2024-01-11 03:00:00,10.5,1018.5,81.0,350.0,2.0,0.34729635533386083,-1.969615506024416,1020.1166666666667
2024-01-11 06:00:00,21.0,1019.7,53.0,20.0,3.0,-1.0260604299770058,-2.8190778623577253,1019.9458333333333
2024-01-11 09:00:00,23.9,1017.8,46.0,230.0,4.0,3.064177772475912,2.571150438746157,1019.7958333333335
2024-01-11 12:00:00,23.4,1016.1,49.0,210.0,4.0,2.0000000000000004,3.4641016151377544,1019.65
2024-01-11 15:00:00,19.5,1016.7,67.0,190.0,3.0,0.5209445330007912,2.954423259036624,1019.5041666666666
2024-01-11 18:00:00,16.6,1017.0,73.0,40.0,3.0,-1.9283628290596184,-2.2981333293569337,1019.3249999999999
2024-01-11 21:00:00,14.400001,1016.4,79.0,10.0,3.0,-0.520944533000791,-2.954423259036624,1019.1583333333334
2024-01-12 00:00:00,13.7,1015.7,84.0,340.0,2.0,0.6840402866513376,-1.8793852415718166,1018.975
2024-01-12 03:00:00,12.900001,1016.9,86.0,340.0,3.0,1.0260604299770064,-2.819077862357725,1018.8000000000001
2024-01-12 06:00:00,20.800001,1018.7,62.0,40.0,2.0,-1.285575219373079,-1.5320888862379558,1018.6333333333333
2024-01-12 09:00:00,24.1,1016.2,51.0,220.0,4.0,2.5711504387461575,3.064177772475912,1018.4416666666667
2024-01-12 12:00:00,23.4,1014.7,55.0,240.0,5.0,4.330127018922194,2.4999999999999996,1018.2666666666668
2024-01-12 15:00:00,20.2,1015.4,69.0,340.0,3.0,1.0260604299770064,-2.819077862357725,1018.0916666666667
2024-01-12 18:00:00,19.9,1015.9,66.0,300.0,2.0,1.7320508075688774,-0.9999999999999999,1017.9083333333334
2024-01-12 21:00:00,15.2,1016.3,77.0,20.0,2.0,-0.6840402866513371,-1.8793852415718169,1017.7291666666666
2024-01-13 00:00:00,14.2,1016.1,82.0,10.0,2.0,-0.34729635533386066,-1.969615506024416,1017.5666666666666
2024-01-13 03:00:00,14.0,1016.6,81.0,350.0,2.0,0.34729635533386083,-1.969615506024416,1017.4166666666666
2024-01-13 06:00:00,21.4,1019.1,53.0,20.0,3.0,-1.0260604299770058,-2.8190778623577253,1017.2833333333333
2024-01-13 09:00:00,24.7,1017.1,45.0,210.0,4.0,2.0000000000000004,3.4641016151377544,1017.1750000000001
2024-01-13 12:00:00,24.800001,1015.3,52.0,160.0,5.0,-1.7101007166283435,4.698463103929543,1017.0625
2024-01-13 15:00:00,23.0,1015.7,62.0,230.0,3.0,2.298133329356934,1.9283628290596178,1016.9458333333333
2024-01-13 18:00:00,20.7,1016.5,67.0,270.0,4.0,4.0,0.0,1016.8583333333335
2024-01-13 21:00:00,17.300001,1015.8,76.0,260.0,2.0,1.969615506024416,0.34729635533386066,1016.7416666666668
2024-01-14 00:00:00,15.5,1015.4,81.0,350.0,2.0,0.34729635533386083,-1.969615506024416,1016.65
2024-01-14 03:00:00,15.6,1016.4,81.0,320.0,3.0,1.9283628290596182,-2.298133329356934,1016.5625
2024-01-14 06:00:00,23.300001,1018.5,60.0,70.0,2.0,-1.8793852415718169,-0.6840402866513373,1016.5124999999999
2024-01-14 09:00:00,25.300001,1016.3,46.0,240.0,3.0,2.598076211353316,1.4999999999999998,1016.4499999999999
2024-01-14 12:00:00,25.2,1015.0,49.0,160.0,5.0,-1.7101007166283435,4.698463103929543,1016.4041666666667
2024-01-14 15:00:00,23.1,1016.0,56.0,200.0,2.0,0.6840402866513376,1.8793852415718166,1016.375
2024-01-14 18:00:00,18.300001,1017.2,73.0,20.0,2.0,-0.6840402866513371,-1.8793852415718169,1016.3833333333333
2024-01-14 21:00:00,16.800001,1016.9,76.0,340.0,3.0,1.0260604299770064,-2.819077862357725,1016.4041666666666
2024-01-15 00:00:00,15.8,1016.8,85.0,330.0,2.0,1.0000000000000002,-1.7320508075688772,1016.4500000000002
2024-01-15 03:00:00,14.1,1018.1,88.0,350.0,2.0,0.34729635533386083,-1.969615506024416,1016.5
2024-01-15 06:00:00,23.2,1019.0,64.0,30.0,2.0,-1.0000000000000009,-1.7320508075688767,1016.5124999999999
2024-01-15 09:00:00,26.6,1016.0,50.0,250.0,3.0,2.8190778623577253,1.0260604299770062,1016.5041666666666
2024-01-15 12:00:00,25.800001,1014.2,57.0,200.0,5.0,1.7101007166283442,4.698463103929542,1016.4833333333332
2024-01-15 15:00:00,25.5,1014.6,45.0,240.0,4.0,3.464101615137755,1.9999999999999998,1016.4499999999999
2024-01-15 18:00:00,20.6,1015.2,69.0,300.0,2.0,1.7320508075688774,-0.9999999999999999,1016.4208333333332
2024-01-15 21:00:00,16.9,1014.9,78.0,99.0,1.0,-0.9876883405951377,0.15643446504023098,1016.3625000000001
2024-01-16 00:00:00,15.5,1014.4,87.0,99.0,1.0,-0.9876883405951377,0.15643446504023098,1016.2916666666666
2024-01-16 03:00:00,15.3,1015.5,92.0,330.0,3.0,1.5000000000000004,-2.598076211353316,1016.2458333333333
2024-01-16 06:00:00,24.1,1017.0,68.0,360.0,4.0,2.4492935982947064e-16,-4.0,1016.1583333333333
